"area light","面光源","EN","JA"
"artifacts","アーティファクト","EN","JA"
"centroid","重心","EN","JA"
"cone","コーン","EN","JA"
"map","マップ","EN","JA"
"material","マテリアル","EN","JA"
"medium","媒質","EN","JA"
"next event estimation","NEE","EN","JA"
"participating media","関与媒質","EN","JA"
"participating medium","関与媒質","EN","JA"
"photon","フォトン","EN","JA"
"primary ray","プライマリレイ","EN","JA"
"radiance","輝度","EN","JA"
"ray","レイ","EN","JA"
"rays","レイ","EN","JA"
"real time","リアルタイム","EN","JA"
"relative index of refraction","相対屈折率","EN","JA"
"renderer","レンダラー","EN","JA"
"surface","サーフェス","EN","JA"
"temporal","時間的","EN","JA"
"timing","時間計測","EN","JA"
"TIR","全反射","EN","JA"
"translucency","半透明性","EN","JA"
"translucent","半透明","EN","JA"
"visibility","可視性","EN","JA"
"volume","ボリューム","EN","JA"
